52863|28589|0
4262|60269|-1
34442|31742|0
39122|5500|0
262301|262757|0
14061|15589|0
3462|7481|-1
3352|57140|-1
9498|45749|-1
3267|31595|0
174|8954|-1
18734|11888|-1
33920|20144|0
47321|24482|0
12414|34177|0
12731|15605|0
34573|25227|0
293|10702|-1
37468|327901|0
199599|41185|-1
34790|48526|0
38001|198554|0
5392|41497|0
7018|25783|-1
12129|19754|0
8220|8659|-1
58511|9022|0
36236|52965|0
4826|13917|0
61287|25091|0
4323|17178|-1
57344|31083|-1
31727|52320|0
9902|132146|0
16083|52016|-1
32590|8426|0
59605|5563|0
54994|51185|0
4766|23563|-1
4809|9318|0
6453|12129|-1
9029|31019|0
39122|56595|0
3356|22681|-1
3267|28800|-1
48526|15447|0
21548|54672|-1
3356|29297|-1
20712|37100|0
5394|13064|0
12976|29479|0
1251|262981|-1
9498|58682|-1
5769|26198|-1
13193|29838|0
15547|44020|0
8492|25091|0
174|25466|-1
49605|31222|0
197071|57111|0
48362|196610|0
35369|43070|0
45629|2613|0
38001|7642|0
3356|30622|-1
17978|9902|0
8426|57456|0
24904|13237|0
18001|16265|0
2854|35354|-1
48200|112|-1
4004|3741|0
18106|14361|0
30132|35320|0
35320|60953|-1
49605|30786|0
803|51185|0
60357|2895|0
198385|8723|0
1836|8966|0
57356|37100|0
1299|15570|-1
50607|197418|-1
34868|30132|0
27064|5972|1
20764|20640|0
25751|36351|0
28571|262314|0
31100|31007|-1
13237|197964|0
15933|60501|0
29697|9318|0
18403|131408|-1
42390|15605|0
174|16557|-1
48452|24950|-1
1836|25152|0
20783|52320|0
197071|36236|0
9121|20764|0
29076|44622|-1
20394|36236|0
27851|28051|-1
6830|28905|-1
12843|31735|-1
58273|8220|0
5390|15435|0
28186|262906|0
198792|40805|0
28757|37468|0
52689|28260|0
28738|50553|-1
1103|19324|0
39839|39351|0
16265|50031|-1
15412|29639|0
52688|52870|-1
26785|4181|0
174|393515|-1
34772|12301|0
53732|5645|0
50629|36086|0
5394|4641|0
1836|197763|-1
8359|13101|0
197696|8220|0
32590|17639|0
42473|53828|0
5518|51955|-1
53059|52863|0
47172|2119|0
20849|12779|0
14537|12290|0
4755|45117|-1
56704|13335|-1
262317|262394|0
209|36596|-1
35320|34288|0
4788|24514|-1
34966|31025|0
